TagID,Corner,CameraCombos,NumCameras,Expected_X,Expected_Y,Expected_Z,Calc_X,Error_X,Calc_Y,Error_Y,Calc_Z,Error_Z,Total_Error_cm,Status
20,2,camSouth+camWest,2,195.00,3.00,124.00,195.98,0.98,1.67,1.33,126.00,2.00,2.59,OK
20,2,camNorth+camSouth+camWest,3,195.00,3.00,124.00,192.95,2.05,3.79,0.79,126.92,2.92,3.65,OK
20,3,camNorth+camSouth,2,216.50,3.00,124.00,211.88,4.62,2.45,0.55,126.89,2.89,5.48,OK
20,3,camNorth+camWest,2,216.50,3.00,124.00,214.98,1.52,6.93,3.93,127.69,3.69,5.60,OK
20,3,camSouth+camWest,2,216.50,3.00,124.00,217.68,1.18,1.72,1.28,126.01,2.01,2.66,OK
20,3,camNorth+camSouth+camWest,3,216.50,3.00,124.00,214.85,1.65,3.70,0.70,126.86,2.86,3.38,OK
21,0,camNorth+camEast,2,211.80,182.50,4.00,208.29,3.51,185.46,2.96,7.90,3.90,6.03,OK
21,0,camNorth+camSouth,2,211.80,182.50,4.00,201.24,10.56,180.10,2.40,2.65,1.35,10.91,OK
21,0,camNorth+camWest,2,211.80,182.50,4.00,210.60,1.20,187.96,5.46,5.73,1.73,5.85,OK
21,0,camEast+camSouth,2,211.80,182.50,4.00,209.47,2.33,181.48,1.02,3.73,0.27,2.56,OK
21,0,camEast+camWest,2,211.80,182.50,4.00,211.05,0.75,182.28,0.22,5.79,1.79,1.95,OK
21,0,camSouth+camWest,2,211.80,182.50,4.00,213.09,1.29,183.00,0.50,4.91,0.91,1.65,OK
21,0,camNorth+camEast+camSouth,3,211.80,182.50,4.00,206.33,5.47,182.35,0.15,4.76,0.76,5.52,OK
21,0,camNorth+camEast+camWest,3,211.80,182.50,4.00,209.98,1.82,185.24,2.74,6.47,2.47,4.11,OK
21,0,camNorth+camSouth+camWest,3,211.80,182.50,4.00,208.31,3.49,183.69,1.19,4.43,0.43,3.71,OK
21,0,camEast+camSouth+camWest,3,211.80,182.50,4.00,211.20,0.60,182.25,0.25,4.81,0.81,1.04,OK
21,0,camNorth+camEast+camSouth+camWest,4,211.80,182.50,4.00,208.96,2.84,183.38,0.88,5.12,1.12,3.18,OK
21,1,camNorth+camEast,2,211.80,161.00,4.00,208.08,3.72,163.05,2.05,7.67,3.67,5.61,OK
21,1,camNorth+camSouth,2,211.80,161.00,4.00,202.45,9.35,159.13,1.87,3.06,0.94,9.58,OK
